headache,"['Low Blood Sugar (Hypoglycemia)', 'Everything You Need to Know About High Blood Pressure (Hypertension)', 'Everything You Need to Know About Stroke', 'Cold and Flu', 'Labyrinthitis', 'Common Cold Overview', 'Vertebrobasilar Circulatory Disorders', 'Whiplash', 'Dehydration', 'Heat Emergencies', 'Hypovolemic Shock', 'Transient Ischemic Attack (Ministroke)', 'Caffeine Overdose: How Much Is Too Much?', 'Anorexia Nervosa', 'Everything You Need to Know About Fibromyalgia', 'Carbon Monoxide Poisoning', 'Addisonian Crisis (Acute Adrenal Crisis)', 'Acute Mountain Sickness', 'Post-Traumatic Stress Disorder (PTSD)', 'Post-Concussion Syndrome']"
lightheadedness,"['Everything You Need to Know About High Blood Pressure (Hypertension)', 'Heart Attack', 'Panic Disorder', 'What Causes Abnormal Heart Rhythms?', 'Bleeding', 'Heat Emergencies', 'Ventricular Tachycardia', 'Atrial Fibrillation and Flutter', 'Paroxysmal Supraventricular Tachycardia (PSVT)', 'Acute Mountain Sickness', 'Agoraphobia', 'What Do You Want to Know About Pregnancy?', 'Alcoholic Ketoacidosis', 'Respiratory Alkalosis', 'Addisonian Crisis (Acute Adrenal Crisis)', 'Hyperemesis Gravidarum', 'Abdominal Aortic Aneurysm', 'Ectopic Pregnancy', 'Cardiac Tamponade', 'Marine Animal Bites or Stings']"
nausea,"['Heart Attack', 'Labyrinthitis', ""Meniere's Disease"", 'Motion Sickness', 'Panic Disorder', 'Peptic Ulcer', 'Cold and Flu', 'What Do You Want to Know About Pregnancy?', 'Beriberi', 'Benign Positional Vertigo (BPV)', 'Hypothermia', 'Caffeine Overdose: How Much Is Too Much?', 'Hyperemesis Gravidarum', 'Epidural Hematoma', 'Viral Gastroenteritis (Stomach Flu)', 'Ectopic Pregnancy', 'Abdominal Aortic Aneurysm', 'Acoustic Neuroma', 'Focal Onset Seizures (Partial Seizures)', 'Marine Animal Bites or Stings']"
palpitations,"['What Causes Abnormal Heart Rhythms?', 'What Is Hyperventilation?', 'Everything You Need to Know About High Blood Pressure (Hypertension)', 'Low Blood Sugar (Hypoglycemia)', 'Panic Disorder', 'Ventricular Tachycardia', 'Paroxysmal Supraventricular Tachycardia (PSVT)', 'Atrial Flutter', 'Atrial Fibrillation and Flutter', 'What Causes Heart Murmurs?', 'Hypertrophic Cardiomyopathy', 'Sick Sinus Syndrome', 'Post-Traumatic Stress Disorder (PTSD)', 'What Is a Drug Allergy?', 'Multifocal Atrial Tachycardia and Your Heart', 'Cardiac Tamponade', 'Agoraphobia', 'Agoraphobia With Panic Attacks']"
pain,"['Heart Attack', 'Low Blood Sugar (Hypoglycemia)', 'Everything You Need to Know About High Blood Pressure (Hypertension)', 'Chemical Burns', 'Bleeding', 'What Is Hyperventilation?', 'Panic Disorder', 'Beriberi', 'Whiplash', 'Vertebrobasilar Circulatory Disorders', 'Cold and Flu', 'What Do You Want to Know About Pregnancy?', 'Everything You Need to Know About Fibromyalgia', 'Atrial Fibrillation and Flutter', 'Atherosclerosis', 'Ectopic Pregnancy', 'Pulmonary Embolism', 'Cardiac Tamponade', 'Abdominal Aortic Aneurysm', 'Viral Gastroenteritis (Stomach Flu)']"
loss-of-consciousness,"['Everything You Need to Know About Stroke', 'Low Blood Sugar (Hypoglycemia)', 'Hypovolemic Shock', 'Dehydration', 'Heat Emergencies', 'Epidural Hematoma', 'Transient Ischemic Attack (Ministroke)', 'Beriberi', 'Carbon Monoxide Poisoning', 'Addisonian Crisis (Acute Adrenal Crisis)', 'Chemical Burns', 'Everything You Should Know About Diabetes Insipidus', 'Alcoholic Ketoacidosis', 'Aftershave Poisoning: What to Do']"
excessive-sweating,"['Low Blood Sugar (Hypoglycemia)', ""Meniere's Disease"", 'Heart Attack', 'Panic Disorder', 'Motion Sickness', 'Heat Emergencies', 'Cold and Flu', 'Pulmonary Embolism', 'Viral Gastroenteritis (Stomach Flu)', 'Everything You Should Know About Menopause', 'Focal Onset Seizures (Partial Seizures)', 'Autonomic Neuropathy', 'Marine Animal Bites or Stings', 'Agoraphobia', 'Agoraphobia With Panic Attacks']"
fever,"['Cold and Flu', 'Heat Emergencies', 'Middle Ear Infection (Otitis Media)', 'Common Cold Overview', 'Caffeine Overdose: How Much Is Too Much?', 'Viral Gastroenteritis (Stomach Flu)', 'Toxic Megacolon', 'Marine Animal Bites or Stings', 'Toxic Shock Syndrome', 'Addisonian Crisis (Acute Adrenal Crisis)', 'Post-Traumatic Stress Disorder (PTSD)', 'Snake Bites', 'ABO Incompatibility Reaction', 'SARS (Severe Acute Respiratory Syndrome)', 'Cholesteatoma: Causes, Symptoms, and Diagnosis']"
tired,"['Low Blood Sugar (Hypoglycemia)', 'Dehydration', 'Cold and Flu', 'Everything You Need to Know About High Blood Pressure (Hypertension)', 'Heart Attack', 'Heat Emergencies', 'Hypovolemic Shock', 'Common Cold Overview', 'What Do You Want to Know About Pregnancy?', 'Everything You Need to Know About Fibromyalgia', 'Atrial Fibrillation and Flutter', 'Everything You Need to Know About Polycythemia Vera', 'Peptic Ulcer', 'Understanding Multiple Sclerosis (MS)', 'Acute Mountain Sickness', 'Endometriosis', 'Everything You Should Know About Diabetes Insipidus', 'Teenage Pregnancy']"
low-blood-pressure,"['Dehydration', 'Heart Attack', 'Bleeding', 'Hypovolemic Shock', 'What Causes Abnormal Heart Rhythms?', 'Caffeine Overdose: How Much Is Too Much?', 'Cardiac Tamponade', 'Carbon Monoxide Poisoning', 'Addisonian Crisis (Acute Adrenal Crisis)', 'Toxic Shock Syndrome', 'Ventricular Tachycardia', 'Anorexia Nervosa', 'Pulmonary Embolism', 'Autonomic Neuropathy', 'Marine Animal Bites or Stings', 'Aftershave Poisoning: What to Do', 'Isopropyl Alcohol Poisoning']"
